Run,astrological_experience,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12
12764529,0,A,E,D,C,A,E,B,D,A,B,B,E
12764364,0,D,E,C,D,A,B,E,D,A,C,B,E
12764231,0,B,C,A,A,E,A,C,B,E,B,B,D
12764006,0,C,D,A,D,E,B,A,A,C,B,B,C
12763617,0,C,B,D,E,A,A,C,D,E,B,C,A
12762902,0,C,E,A,B,D,B,B,E,A,B,C,D
12762897,0,E,B,C,E,E,C,A,B,E,C,E,B
12762870,0,B,C,A,E,D,B,A,E,D,B,D,E
12762089,0,B,D,C,B,D,B,A,A,D,E,D,A
12762067,0,D,A,E,D,B,B,A,B,C,E,B,A
12762057,0,C,E,C,C,E,B,A,D,A,C,B,A
12655600,0,A,C,D,B,A,B,D,E,B,B,A,A
12899792,1,A,E,A,A,C,C,A,D,E,E,E,E
12899673,1,A,D,C,E,B,D,E,A,A,E,D,C
12896059,1,A,E,A,D,A,C,A,E,E,E,D,D
12856791,1,A,C,C,A,A,D,E,D,E,E,D,D
12815782,1,E,D,E,D,B,B,D,C,A,A,C,E
12801645,1,A,D,C,B,A,C,A,D,C,B,D,D
12787238,1,A,E,D,D,B,A,C,E,B,A,E,A
12784996,1,A,D,C,B,B,C,A,E,D,C,E,C
12784557,1,E,E,C,A,A,B,E,A,B,B,B,A
12781709,1,C,B,D,E,A,C,B,A,D,E,C,A
12781096,1,C,A,E,B,D,B,D,D,B,C,E,B
12780446,1,D,B,E,D,D,E,A,C,A,C,D,A
12780431,1,D,A,E,B,B,C,E,C,D,E,B,D
12779908,1,C,A,D,B,E,E,C,C,E,D,D,D
12779779,1,C,B,C,C,A,D,A,C,B,C,E,A
12778049,1,E,B,B,D,D,E,A,D,B,C,D,D
12777765,1,A,C,C,D,D,C,A,D,B,B,D,D
12776589,1,A,B,C,B,D,A,E,E,D,D,A,D
12775367,1,C,E,A,A,E,C,B,C,D,D,B,B
12775174,1,C,B,D,D,E,D,E,E,A,C,E,C
12775123,1,E,C,E,D,D,C,E,D,D,E,D,B
12774192,1,A,B,E,A,C,A,A,C,C,E,D,B
12774044,1,A,B,A,C,A,A,B,C,A,E,E,D
12774007,1,E,C,B,D,A,E,B,D,E,A,C,D
12773845,1,E,E,B,D,A,C,A,A,C,E,E,A
12773630,1,C,A,D,E,A,E,D,E,E,D,C,C
12773610,1,D,A,C,D,D,B,E,C,D,A,B,C
12773040,1,D,A,E,B,B,C,E,E,A,E,C,A
12772989,1,A,A,D,B,B,B,B,D,C,D,E,D
12772822,1,B,C,B,E,A,C,D,A,B,B,E,D
12772480,1,B,E,E,C,E,C,D,B,D,A,E,D
12772448,1,A,B,E,A,E,C,C,D,E,C,E,C
12772400,1,A,C,E,D,E,B,A,A,D,C,E,C
12772290,1,A,C,D,A,E,C,B,A,D,A,C,D
